complaints,category
There is a downed line,Electricity
"I want to report bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
Urgent notice regarding stagnant water,Health
"There is a cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Danger attention is needed.",Roads
"Please fix the overflowing bin the whole neighborhood is complaining. Specifically, the overflowing bin near the main square is getting worse. Immediate attention is needed.",Sanitation
"Urgent notice regarding cracked pavement this is a major safety risk. Specifically, the cracked pavement near the main square is getting worse. Urgent attention is needed.",Roads
"Continuous issue with traffic signal broken this is a major safety risk. Specifically, the traffic signal broken near the main square is getting worse. Fire attention is needed.",Roads
Please fix the bad smell,Sanitation
"Continuous issue with transformer failure the whole neighborhood is complaining. Specifically, the transformer failure near the main square is getting worse. Urgent attention is needed.",Electricity
"Please fix the sewage leak this is a major safety risk. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
There is a overflowing bin,Sanitation
"Continuous issue with stray dog menace and it has been like this for days. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"I want to report stray dog menace this is a major safety risk. Specifically, the stray dog menace near the main square is getting worse. Immediate attention is needed.",Health
"Urgent notice regarding leak and it has been like this for days. Specifically, the leak near the main square is getting worse. Emergency attention is needed.",Water
"Urgent notice regarding uncollected waste which is causing a lot of trouble. Specifically, the uncollected waste near the main square is getting worse. Hazard attention is needed.",Sanitation
I want to report traffic signal broken,Roads
Please fix the outbreak risk,Health
Please fix the flooded road,Roads
"Please fix the clinic closed and it has been like this for days. Specifically, the clinic closed near the main square is getting worse. Immediate attention is needed.",Health
Urgent notice regarding no supply,Water
"Please fix the bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Danger attention is needed.",Sanitation
"There is a bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
Urgent notice regarding dim lights,Electricity
Continuous issue with traffic signal broken,Roads
"Continuous issue with contaminated and it has been like this for days. Specifically, the contaminated near the main square is getting worse. Urgent attention is needed.",Water
Continuous issue with cracked pavement,Roads
There is a pipe burst,Water
"Please fix the overflowing bin this is a major safety risk. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
There is a dim lights,Electricity
Urgent notice regarding outbreak risk,Health
Urgent notice regarding sewage leak,Sanitation
"There is a stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Urgent attention is needed.",Health
"I want to report clinic closed the whole neighborhood is complaining. Specifically, the clinic closed near the main square is getting worse. Danger attention is needed.",Health
Please fix the cracked pavement,Roads
"Urgent notice regarding overflowing bin which is causing a lot of trouble. Specifically, the overflowing bin near the main square is getting worse. Fire attention is needed.",Sanitation
"Continuous issue with mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Emergency attention is needed.",Health
Please fix the downed line,Electricity
"There is a dirty water the whole neighborhood is complaining. Specifically, the dirty water near the main square is getting worse. Emergency attention is needed.",Water
"Continuous issue with dirty water and it has been like this for days. Specifically, the dirty water near the main square is getting worse. Fire attention is needed.",Water
Continuous issue with sparking wire,Electricity
Urgent notice regarding clinic closed,Health
Urgent notice regarding cracked pavement,Roads
Continuous issue with bad smell,Sanitation
There is a bad smell,Sanitation
"I want to report stray dog menace the whole neighborhood is complaining. Specifically, the stray dog menace near the main square is getting worse. Leak attention is needed.",Health
"Please fix the pipe burst this is a major safety risk. Specifically, the pipe burst near the main square is getting worse. Urgent attention is needed.",Water
There is a dirty water,Water
Please fix the garbage pile,Sanitation
"There is a mosquito breeding and it has been like this for days. Specifically, the mosquito breeding near the main square is getting worse. Immediate attention is needed.",Health
"Continuous issue with traffic signal broken which is causing a lot of trouble. Specifically, the traffic signal broken near the main square is getting worse. Urgent attention is needed.",Roads
Urgent notice regarding garbage pile,Sanitation
"Continuous issue with bad smell the whole neighborhood is complaining. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
"Please fix the pothole the whole neighborhood is complaining. Specifically, the pothole near the main square is getting worse. Immediate attention is needed.",Roads
"Please fix the cracked pavement and it has been like this for days. Specifically, the cracked pavement near the main square is getting worse. Urgent attention is needed.",Roads
Urgent notice regarding street light out,Roads
"Urgent notice regarding transformer failure which is causing a lot of trouble. Specifically, the transformer failure near the main square is getting worse. Immediate attention is needed.",Electricity
There is a traffic signal broken,Roads
"Continuous issue with sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
There is a street light out,Roads
Continuous issue with overflowing bin,Sanitation
Continuous issue with clinic closed,Health
I want to report overflowing bin,Sanitation
"Continuous issue with power cut and it has been like this for days. Specifically, the power cut near the main square is getting worse. Fire attention is needed.",Electricity
Please fix the sewage leak,Sanitation
"Continuous issue with garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Emergency attention is needed.",Sanitation
"There is a outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Hazard attention is needed.",Health
I want to report garbage pile,Sanitation
"There is a pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
I want to report bad smell,Sanitation
Urgent notice regarding stray dog menace,Health
"Please fix the uncollected waste this is a major safety risk. Specifically, the uncollected waste near the main square is getting worse. Urgent attention is needed.",Sanitation
"Continuous issue with dim lights which is causing a lot of trouble. Specifically, the dim lights near the main square is getting worse. Urgent attention is needed.",Electricity
I want to report street light out,Roads
"Please fix the contaminated which is causing a lot of trouble. Specifically, the contaminated near the main square is getting worse. Danger attention is needed.",Water
"Please fix the garbage pile and it has been like this for days. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
"Continuous issue with no supply and it has been like this for days. Specifically, the no supply near the main square is getting worse. Life-threatening attention is needed.",Water
Continuous issue with dim lights,Electricity
"Continuous issue with cracked pavement which is causing a lot of trouble. Specifically, the cracked pavement near the main square is getting worse. Emergency attention is needed.",Roads
I want to report contaminated,Water
Continuous issue with garbage pile,Sanitation
"I want to report overflowing bin and it has been like this for days. Specifically, the overflowing bin near the main square is getting worse. Danger attention is needed.",Sanitation
"There is a dim lights and it has been like this for days. Specifically, the dim lights near the main square is getting worse. Urgent attention is needed.",Electricity
There is a sewage leak,Sanitation
"Urgent notice regarding contaminated the whole neighborhood is complaining. Specifically, the contaminated near the main square is getting worse. Hazard attention is needed.",Water
Continuous issue with stray dog menace,Health
"Please fix the outbreak risk which is causing a lot of trouble. Specifically, the outbreak risk near the main square is getting worse. Danger attention is needed.",Health
"I want to report dirty water this is a major safety risk. Specifically, the dirty water near the main square is getting worse. Hazard attention is needed.",Water
There is a mosquito breeding,Health
"Urgent notice regarding bad smell and it has been like this for days. Specifically, the bad smell near the main square is getting worse. Hazard attention is needed.",Sanitation
Urgent notice regarding mosquito breeding,Health
Urgent notice regarding bad smell,Sanitation
"Continuous issue with bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Emergency attention is needed.",Sanitation
"Continuous issue with stagnant water the whole neighborhood is complaining. Specifically, the stagnant water near the main square is getting worse. Fire attention is needed.",Health
"Urgent notice regarding contaminated which is causing a lot of trouble. Specifically, the contaminated near the main square is getting worse. Emergency attention is needed.",Water
"Continuous issue with sparking wire which is causing a lot of trouble. Specifically, the sparking wire near the main square is getting worse. Life-threatening attention is needed.",Electricity
"I want to report pothole this is a major safety risk. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
"I want to report pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Fire attention is needed.",Roads
Please fix the street light out,Roads
Please fix the overflowing bin,Sanitation
Continuous issue with transformer failure,Electricity
"Please fix the stagnant water and it has been like this for days. Specifically, the stagnant water near the main square is getting worse. Urgent attention is needed.",Health
"Please fix the garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Danger attention is needed.",Sanitation
"I want to report street light out which is causing a lot of trouble. Specifically, the street light out near the main square is getting worse. Danger attention is needed.",Roads
There is a stagnant water,Health
"I want to report pothole which is causing a lot of trouble. Specifically, the pothole near the main square is getting worse. Emergency attention is needed.",Roads
"Please fix the low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Fire attention is needed.",Water
"I want to report sewage leak the whole neighborhood is complaining. Specifically, the sewage leak near the main square is getting worse. Immediate attention is needed.",Sanitation
I want to report uncollected waste,Sanitation
"Urgent notice regarding uncollected waste this is a major safety risk. Specifically, the uncollected waste near the main square is getting worse. Leak attention is needed.",Sanitation
"Please fix the low pressure the whole neighborhood is complaining. Specifically, the low pressure near the main square is getting worse. Urgent attention is needed.",Water
"I want to report transformer failure the whole neighborhood is complaining. Specifically, the transformer failure near the main square is getting worse. Leak attention is needed.",Electricity
"Continuous issue with downed line which is causing a lot of trouble. Specifically, the downed line near the main square is getting worse. Emergency attention is needed.",Electricity
"Please fix the street light out the whole neighborhood is complaining. Specifically, the street light out near the main square is getting worse. Danger attention is needed.",Roads
"Urgent notice regarding garbage pile this is a major safety risk. Specifically, the garbage pile near the main square is getting worse. Fire attention is needed.",Sanitation
Continuous issue with outbreak risk,Health
"Urgent notice regarding downed line and it has been like this for days. Specifically, the downed line near the main square is getting worse. Life-threatening attention is needed.",Electricity
Continuous issue with leak,Water
I want to report sparking wire,Electricity
I want to report leak,Water
"Please fix the garbage pile the whole neighborhood is complaining. Specifically, the garbage pile near the main square is getting worse. Life-threatening attention is needed.",Sanitation
Continuous issue with downed line,Electricity
"Please fix the no supply this is a major safety risk. Specifically, the no supply near the main square is getting worse. Urgent attention is needed.",Water
"I want to report clinic closed which is causing a lot of trouble. Specifically, the clinic closed near the main square is getting worse. Life-threatening attention is needed.",Health
There is a stray dog menace,Health
"Please fix the bad smell this is a major safety risk. Specifically, the bad smell near the main square is getting worse. Hazard attention is needed.",Sanitation
Please fix the stagnant water,Health
Urgent notice regarding power cut,Electricity
"I want to report sewage leak and it has been like this for days. Specifically, the sewage leak near the main square is getting worse. Urgent attention is needed.",Sanitation
"There is a sparking wire and it has been like this for days. Specifically, the sparking wire near the main square is getting worse. Danger attention is needed.",Electricity
